person_id_A,person_id_B,ground_truth
b653e9aa-5c2b-4a9f-b9b5-a17569863be1,487a7c5f-5965-43ac-a9b5-1e0b2cb6c202,1
70da0560-1ff0-4972-9ab1-189f8d31795b,2559fa8c-b1c0-421b-92fd-e152cc9eafd1,1
69cdc37e-0d66-4ee7-8136-8a09484a8267,021ee521-6578-4d52-9a6e-b571c3840f34,1
95d331b4-d36f-4504-8135-6833e392c80b,4ed2d2c1-e70e-46b2-bade-c09d926f32c9,1
771ffc11-a39e-4820-a494-32b4838a350a,af5743f6-e95e-4f9d-a7e6-210177b50421,1
a9069f06-434d-47a3-960e-3f72f0811b38,1366f51c-c891-4e2a-9d39-65a2629305c4,1
506df6c2-86f5-4f75-b021-c931d5f9561c,97d2de0f-457e-4bfa-918a-f72073b23c5f,1
aa4700a5-c31a-4824-a8cb-e23605d2a022,b6a11a19-a66d-408a-82cd-08d0ee5915e5,1
f3e69d4d-db36-4741-83f6-c9f0cd007caf,35ca9fc9-b7c0-44dc-ac75-98fa19c9ebf9,1
bceb6199-27d7-4184-a9c0-4d2ae3ab3d7d,b3c541cb-8216-4b07-b265-45a5b6f5974d,1
722aa464-7027-498d-9f8b-072c9d0b8077,56520bd2-594b-45da-8a95-bcada4f94cbc,1
d4f6a4e6-920c-417b-8fcf-d654b40f838a,356ddd2e-b87f-46f7-a4d0-bb7cfef6489d,1
2fef777a-5a19-4935-bf54-9b5a80bbe15e,816a93ce-02d9-4f8d-a8e8-859002fe1a7c,1
dc1a7a36-588f-4eb0-87f3-5a5a98eb72bf,8488ba4e-8e60-4bb6-b552-849a12e35597,1
29406b44-6570-4cc5-9e33-521ee6249df0,3c9a9315-3889-4763-8fec-a9a9417404b0,1
e9863558-d2f7-4023-a1d1-f96048918f48,ad0123b8-1b2b-41c7-bfd0-43bdee39a392,1
20c79892-7d06-44a5-b779-26181374752d,d7a4876c-28ae-4949-a038-720d68b3f88d,1
6102474f-6261-4257-abdb-d6c4daa4bab8,84e0350f-6215-4525-8c5d-dcca54fe7466,1
b4bc1ea9-b9c1-4937-bacc-df7718a2668d,21664a68-1c77-4285-bb82-f24be9297e37,1
df908f7b-8c21-414c-a017-38a8739ada88,fcb5bd88-ef60-4778-a828-d9d35e1897ff,1
904717a9-659b-4465-a327-322dfe4fd6cc,bb5e37f4-28b7-4e7a-80a4-0b68f754d8d4,1
ce80e2ed-ac1c-472b-aa75-508be675ee84,7c362eb9-64c7-4757-be7c-e5f6d05aba97,1
c131e5ed-87ef-4858-b3d8-32742840c5b4,23f1466d-ee2c-420c-8d3f-747742ece8da,1
8eb65eff-12a2-462e-bd5f-f780b515542e,ce9c3bf7-33f2-41c1-82a7-fc2275834849,1
3698f7f2-2192-4f43-ab98-d7c21b63cd18,738dce9b-03c4-4ac3-8f5a-ae7c5c10f18e,1
e5a832af-2731-446c-b13a-be3871544ed8,a7aacadb-34d3-4187-909c-7e75fa347b61,1
eab7407b-6166-4344-856c-ce86658af750,6c3a70cb-ffba-4ae7-80f4-49c711a42c8d,1
0ad1399b-b635-4ecc-b54f-92f4f25c0175,ce4ec12e-d092-4e56-a5ab-a1994676b03f,1
fb65bc79-a79a-4fdf-a414-975d9f6826ba,9b7af3be-ae81-4857-b316-497ad2076b4f,1
9c4909a3-0ef4-4e90-8062-d07dfe143fb3,90d2af42-1860-4895-b8ba-5009741ec0ee,1
7b762d27-f8c8-424a-bad7-952848ccc3fb,d6e07bda-9db5-4d55-b597-31dd13f7a997,1
3badd41c-5dc2-488f-82b7-c3d6ce802b56,e755c858-9e63-47ff-b1b2-347c30c0121e,1
0a4a78ec-e927-41a4-b213-01bfe438b656,19bbac0e-baf0-4497-8a2b-2d3bcd01dcf2,1
cfb5f801-1977-4b27-83b1-b8a4c8373d47,3472a65b-72af-4d30-b720-e9c560af836d,1
b4f5e5b7-08ad-4c73-bf28-ec9f5920d824,820ad7df-fe06-488e-92f5-41479026705a,1
1fcabdce-1474-40c0-a63d-a1eda9e571a6,28c7b828-791d-45c0-a6b0-3343047a2571,1
