person_id_A,person_id_B,ground_truth
a213c59c-5135-4b94-a458-96fd4f3b8cd2,518b4b80-a2b5-4192-9859-ba2a8035e311,1
765f15a9-c5a8-4019-89c6-b770ffb5073b,4f15c33d-9c55-4f8d-a3d2-eab63694a0e2,1
8d59f7e6-75c1-4c35-9f7b-00e071c1f5a7,236ee781-37f0-4cf4-a59e-e91fe8d0f5e3,1
4fbaf334-8dd5-4fe3-b441-16b5601a2cae,836cca68-84b7-496d-927e-a27710d41f4b,1
790ac78b-e649-4a9a-a70f-f1f23962d0b7,90ec4239-6489-4cd2-9842-adf5a146f4ff,1
5f368c8d-f568-4ecd-91eb-7984e686b2c7,ad225707-bf28-427a-b8ea-e7bb1e372aec,1
2bc6c1c2-b523-4f66-8625-e06641c6ada1,f0cd00e2-11fc-4851-8d32-b6502fe8bef2,1
84b01546-98db-45d3-bee4-683547b6b5d2,55cba6d2-eaea-4201-a5b0-448021d8c9cf,1
f6a9262b-82f6-468a-9fdb-4b1b333b85af,ff9986ef-f0b5-4300-a4e5-24bcf7b45d03,1
6e6359ef-38d2-4a06-87ce-61fbc16c2961,7f3871e0-8a64-4dde-b2ec-2e356bd5808e,1
e51795f0-16fa-466d-86f6-edbdb8298ee9,cd21292e-5755-46a8-8c2e-a4312fdf9607,1
eadd729e-fc4d-429e-8d17-5972012b996a,cf45e3d2-f8b6-4a7f-9a97-a1312a3383b0,1
6ad53d2c-f960-495f-8da5-c124dc54c0b9,4e2ba264-97d8-4f0b-a8c8-f09534a21f24,1
900232b4-276b-405b-bb94-57eede19af9c,f5a28634-b2bd-4e56-8e79-00ac94f7a372,1
25505ec2-174b-418f-a735-5eea14e38799,36a8930a-4969-402c-beeb-a91d6fd7ade1,1
c601dce0-1a46-4445-b415-127ced72d90b,ad3232ee-f04a-476d-bcee-ddabf4adfdda,1
23a7ab36-849d-4884-8902-05d844a91d13,a99c57ad-815e-4062-a422-a8ced18ede6c,1
1fb3053b-2bc4-41ce-834f-ce7b2a400a80,a2740e12-cb05-4490-ab98-10ada86c3620,1
ac011461-65d8-410e-a3f6-97f54adb921a,0ec49ff9-9c47-49b1-afcb-23aadd028b8d,1
0680a4d9-e5a8-4aea-96b0-650ded623f64,249dbfed-e421-4796-b030-4de1c9c59011,1
d8aed3b9-30d8-444c-9716-8154d4e2dc00,1ea5c1d4-f37e-4694-b021-276dbeaaefe2,1
f2af95f0-f5aa-4c90-ad36-9b3f72ba58bd,d92f52a0-00df-4739-911f-0a9f0b566ad0,1
35eaded3-de83-4580-98b2-98c09240c1a3,16d60e9f-5118-4613-8671-182a05f3d371,1
3554cbcd-2a65-4c83-af06-ea3f6a85adba,9139f5c0-0dbf-4485-821c-8e1fd58f95bb,1
304f303b-d587-4346-b8b3-060494c2c07a,a0121b7a-21c2-45c4-aed3-8c85e779f456,1
7c82f3e1-acb4-4361-9634-13bd0cb0f0b3,1cf5b84d-7267-4d29-be17-5acc0d8e949a,1
a9db60e0-a6f1-433e-b11c-da0c389a275f,bdd9432f-a28b-48ac-8003-8592da80afc6,1
7f663dc9-cf5c-4f51-8709-c2833d096d82,372802af-a4ac-4a52-8e23-9fa9643c7dc0,1
acc3779a-743d-4484-b972-451d5f156726,948e208e-d480-4286-9d01-721ac573586d,1
55bd0949-b952-4427-bc35-717434d7f314,22e40f87-3820-4d6a-be15-f1aa045f10ae,1
f10a99ec-a46d-4141-9ba0-c857bf1fb6db,dc2ad6e9-1758-4a22-9b7e-6b26165af777,1
5bab5d00-78d2-437c-9579-abc5c13a2337,9628b628-ca13-4341-802c-fa484973225c,1
fe1989ff-0b21-40e2-80f0-e7a7e11f41c2,36864a54-a003-4ee6-9264-b68c1e912315,1
7b45e89b-c313-4c18-a571-aecf88374545,9c659b09-227a-4dac-9ace-b3ac621ff36f,1
b1fc4a2a-9943-4c3d-b25d-1e356edcface,f5ff5b46-aff0-44b0-8f3b-4095a78c5cea,1
543ab956-95e9-4698-9efd-a7b1fa2db396,a344f6df-4b97-49fc-a13f-ba77ad8037e1,1
d053fac6-be4b-484b-b724-527d94da0d83,d5a42830-b690-495e-b8ac-b53a80fd0aac,1
